Date,STATE,frequency
Apr 2000,Idaho,22
Apr 2000,Illinois,8
Apr 2000,Indiana,15
Apr 2000,Iowa,3
Apr 2000,Kansas,12
Apr 2000,Kentucky,160
Apr 2000,Louisiana,153
Apr 2000,Maine,97
Apr 2000,Maryland,1
Apr 2000,Michigan,39
Apr 2000,Minnesota,1144
Apr 2000,Mississippi,238
Apr 2000,Missouri,171
Apr 2000,Montana,124
Apr 2000,Nebraska,2
Apr 2000,Nevada,18
Apr 2000,New Hampshire,42
Apr 2000,New Jersey,154
Apr 2000,New Mexico,226
Apr 2000,New York,256
Apr 2000,North Carolina,512
Apr 2000,North Dakota,219
Apr 2000,Ohio,2
Apr 2000,Oklahoma,135
Apr 2000,Oregon,41
Apr 2000,Pennsylvania,7
Apr 2000,South Carolina,407
Apr 2000,South Dakota,282
Apr 2000,Tennessee,198
Apr 2000,Texas,89
Apr 2000,Utah,25
Apr 2000,Virginia,126
Apr 2000,Washington,69
Apr 2000,West Virginia,183
Apr 2000,Wisconsin,584
Apr 2000,Wyoming,11
Apr 2001,Alabama,316
Apr 2001,Alaska,28
Apr 2001,Arizona,101
Apr 2001,Arkansas,137
Apr 2001,California,161
Apr 2001,Colorado,13
Apr 2001,Connecticut,53
Apr 2001,Florida,521
Apr 2001,Georgia,882
Apr 2001,Hawaii,42
Apr 2001,Idaho,17
Apr 2001,Illinois,14
Apr 2001,Indiana,33
Apr 2001,Iowa,1
Apr 2001,Kansas,22
Apr 2001,Kentucky,516
Apr 2001,Louisiana,119
Apr 2001,Maine,235
Apr 2001,Maryland,1
Apr 2001,Michigan,112
Apr 2001,Minnesota,656
Apr 2001,Mississippi,363
Apr 2001,Missouri,174
Apr 2001,Montana,82
Apr 2001,Nebraska,14
Apr 2001,Nevada,10
Apr 2001,New Hampshire,60
Apr 2001,New Jersey,216
Apr 2001,New Mexico,114
Apr 2001,New York,764
Apr 2001,North Carolina,1107
Apr 2001,North Dakota,277
Apr 2001,Ohio,15
Apr 2001,Oklahoma,238
Apr 2001,Oregon,17
Apr 2001,Pennsylvania,12
Apr 2001,South Carolina,751
Apr 2001,South Dakota,123
Apr 2001,Tennessee,488
Apr 2001,Texas,70
Apr 2001,Utah,20
Apr 2001,Virginia,273
Apr 2001,Washington,47
Apr 2001,West Virginia,345
Apr 2001,Wisconsin,426
Apr 2001,Wyoming,22
Apr 2002,Alabama,334
Apr 2002,Alaska,20
Apr 2002,Arizona,355
Apr 2002,Arkansas,130
Apr 2002,California,330
Apr 2002,Colorado,63
Apr 2002,Connecticut,29
Apr 2002,Delaware,4
Apr 2002,Florida,391
Apr 2002,Georgia,726
Apr 2002,Hawaii,27
Apr 2002,Idaho,19
Apr 2002,Illinois,5
Apr 2002,Indiana,15
Apr 2002,Iowa,3
Apr 2002,Kansas,21
Apr 2002,Kentucky,233
Apr 2002,Louisiana,81
Apr 2002,Maine,91
Apr 2002,Massachusetts,12
Apr 2002,Michigan,95
Apr 2002,Minnesota,786
Apr 2002,Mississippi,244
Apr 2002,Missouri,181
Apr 2002,Montana,101
Apr 2002,Nebraska,40
Apr 2002,Nevada,20
Apr 2002,New Hampshire,29
Apr 2002,New Jersey,241
Apr 2002,New Mexico,212
Apr 2002,New York,454
Apr 2002,North Carolina,839
Apr 2002,North Dakota,290
Apr 2002,Ohio,14
Apr 2002,Oklahoma,125
Apr 2002,Oregon,36
Apr 2002,Pennsylvania,143
Apr 2002,South Carolina,576
Apr 2002,South Dakota,235
Apr 2002,Tennessee,319
Apr 2002,Texas,66
Apr 2002,Utah,56
Apr 2002,Virginia,225
Apr 2002,Washington,49
Apr 2002,West Virginia,178
Apr 2002,Wisconsin,245
Apr 2002,Wyoming,40
Apr 2003,Alabama,200
Apr 2003,Alaska,42
Apr 2003,Arizona,111
Apr 2003,Arkansas,502
Apr 2003,California,92
Apr 2003,Colorado,83
Apr 2003,Connecticut,73
Apr 2003,Delaware,1
Apr 2003,Florida,245
Apr 2003,Georgia,360
Apr 2003,Hawaii,25
Apr 2003,Idaho,19
Apr 2003,Illinois,17
Apr 2003,Indiana,55
Apr 2003,Iowa,22
Apr 2003,Kansas,21
Apr 2003,Kentucky,167
Apr 2003,Louisiana,4
Apr 2003,Maine,256
Apr 2003,Massachusetts,41
Apr 2003,Michigan,318
Apr 2003,Minnesota,1508
Apr 2003,Mississippi,284
Apr 2003,Missouri,96
Apr 2003,Montana,73
Apr 2003,Nebraska,21
Apr 2003,Nevada,4
Apr 2003,New Hampshire,29
Apr 2003,New Jersey,242
Apr 2003,New Mexico,96
Apr 2003,New York,1973
Apr 2003,North Carolina,328
Apr 2003,North Dakota,345
Apr 2003,Ohio,17
Apr 2003,Oklahoma,333
Apr 2003,Oregon,10
Apr 2003,Pennsylvania,243
Apr 2003,Puerto Rico,82
Apr 2003,South Carolina,98
Apr 2003,South Dakota,125
Apr 2003,Tennessee,8
Apr 2003,Texas,114
Apr 2003,Utah,14
Apr 2003,Vermont,4
Apr 2003,Virginia,81
Apr 2003,Washington,17
Apr 2003,West Virginia,211
Apr 2003,Wisconsin,838
Apr 2003,Wyoming,31
Apr 2004,Alabama,569
Apr 2004,Alaska,14
Apr 2004,Arizona,102
Apr 2004,Arkansas,214
Apr 2004,California,541
Apr 2004,Colorado,39
Apr 2004,Connecticut,44
Apr 2004,Delaware,6
Apr 2004,Florida,544
Apr 2004,Georgia,1396
Apr 2004,Hawaii,35
Apr 2004,Idaho,14
Apr 2004,Illinois,24
Apr 2004,Indiana,37
Apr 2004,Iowa,20
Apr 2004,Kansas,20
Apr 2004,Kentucky,25
Apr 2004,Louisiana,7
Apr 2004,Maine,174
Apr 2004,Massachusetts,27
Apr 2004,Michigan,214
Apr 2004,Minnesota,1203
Apr 2004,Mississippi,522
Apr 2004,Missouri,71
Apr 2004,Montana,119
Apr 2004,Nebraska,30
Apr 2004,Nevada,6
